technology,fuel,value
HB_Direct_Electric,Heat_Buildings,1
HB_Gas_Boiler,Heat_Buildings,1
HB_H2_Boiler,Heat_Buildings,1
HB_Heatpump_Aerial,Heat_Buildings,1
HB_Oil_Boiler,Heat_Buildings,1
HB_Solar_Thermal,Heat_Buildings,1
PSNG_Road_BEV,Mobility_Passenger,1
PSNG_Road_H2,Mobility_Passenger,1
PSNG_Road_ICE,Mobility_Passenger,1
PSNG_Road_LNG,Mobility_Passenger,1
PSNG_Road_PHEV,Mobility_Passenger,1
P_Biomass,Power,1
P_Coal_Hardcoal,Power,1
P_Gas_CCGT,Power,1
P_Gas_CCS,Power,1
P_H2_OCGT,Power,1
P_Hydro_Reservoir,Power,1
P_Hydro_RoR,Power,1
P_Nuclear,Power,1
P_Oil,Power,1
P_PV_Utility_Avg,Power,1
P_Wind_Offshore_Deep,Power,1
P_Wind_Onshore_Avg,Power,1
R_Biomass,Biomass,1
R_Coal_Hardcoal,Coal,1
R_Gas,Gas,1
R_Nuclear,Nuclear,1
R_Oil,Oil,1
X_Alkaline_Electrolysis,H2,1
CHP_Biomass_Solid,Heat_Buildings,0.5
CHP_Biomass_Solid_CCS,Heat_Buildings,0.5
CHP_Coal_Hardcoal,Heat_Buildings,0.5
CHP_Gas_CCGT_Natural,Heat_Buildings,0.5
CHP_Gas_CCGT_Natural_CCS,Heat_Buildings,0.5
CHP_Oil,Heat_Buildings,0.5
CHP_Biomass_Solid,Power,1
CHP_Biomass_Solid_CCS,Power,1
CHP_Coal_Hardcoal,Power,1
CHP_Gas_CCGT_Natural,Power,1
CHP_Gas_CCGT_Natural_CCS,Power,1
CHP_Oil,Power,1
